Día,BCV,Mes
1,Feriado,Enero
2,Bs. 301.37,Enero
3,sábado,Enero
4,domingo,Enero
5,Bs. 304.67,Enero
6,Bs. 308.15,Enero
7,Bs. 311.88,Enero
8,Bs. 321.03,Enero
9,Bs. 325.38,Enero
10,sábado,Enero
11,domingo,Enero
12,Bs. 330.38,Enero
13,Bs. 330.38,Enero
14,Bs. 336.45,Enero
15,Bs. 339.14,Enero
16,Bs. 341.74,Enero
17,sábado,Enero
18,domingo,Enero
19,Bs. 344.50,Enero
20,Bs. 344.50,Enero
21,Bs. 347.26,Enero
22,Bs. 349.92,Enero
23,Bs. 352.70,Enero
24,sábado,Enero
25,domingo,Enero
26,Bs. 355.55,Enero
27,Bs. 358.92,Enero
28,Bs. 361.49,Enero
29,Bs. 363.66,Enero
30,Bs. 367.31,Enero
31,sábado,Enero
